time,real gdp,house prices,credit,stock prices,national bank lending rate
15/02/1950,89880.404,1.610,7978.457,4.865,4.500
15/05/1950,94798.018,1.580,8101.095,4.954,4.500
15/08/1950,97059.496,1.620,8349.814,5.064,5.468
15/11/1950,96946.835,1.760,8534.842,4.770,5.828
15/02/1951,97277.096,1.590,8893.961,4.944,6.000
15/05/1951,94583.563,1.650,9004.397,4.800,6.000
15/08/1951,91691.335,1.790,9103.784,4.450,6.000
15/11/1951,92499.738,1.840,9153.225,4.498,6.000
15/02/1952,94611.272,1.750,9320.964,4.588,6.000
15/05/1952,94883.860,1.720,9363.886,4.378,6.000
15/08/1952,96921.752,1.770,9405.142,4.411,6.000
15/11/1952,96898.297,1.860,9566.627,4.459,6.000
15/02/1953,97728.826,1.800,9866.321,4.667,6.000
15/05/1953,101777.896,1.780,9961.508,4.493,6.000
15/08/1953,100588.411,1.850,10140.778,4.565,5.956
15/11/1953,107162.377,2.020,10304.106,4.615,5.500
15/02/1954,106446.141,2.030,10555.559,4.905,5.500
15/05/1954,107672.510,1.980,10841.912,5.031,5.589
15/08/1954,107503.963,2.010,10961.207,4.987,6.500
15/11/1954,104193.745,2.160,11064.490,4.925,6.500
15/02/1955,107374.818,2.130,11109.039,5.182,6.500
15/05/1955,103232.636,2.060,11100.653,5.299,6.500
15/08/1955,106016.422,2.080,11138.814,5.562,6.500
15/11/1955,108244.377,2.240,11295.811,5.700,6.500
15/02/1956,111021.155,2.220,11437.413,5.933,6.500
15/05/1956,105179.156,2.160,11562.035,6.029,6.500
15/08/1956,109890.138,2.190,11681.948,6.368,6.500
15/11/1956,108273.728,2.280,11968.017,6.709,6.500
15/02/1957,108318.530,2.180,12359.879,7.001,6.500
15/05/1957,117950.925,2.170,12378.327,6.605,6.500
15/08/1957,112044.923,2.260,12513.835,6.138,6.500
15/11/1957,111720.798,2.300,12718.094,5.830,6.500
15/02/1958,111838.994,2.140,12873.907,6.274,6.500
15/05/1958,114943.958,2.120,13010.295,6.498,6.100
15/08/1958,113678.080,2.180,13109.677,6.720,5.742
15/11/1958,120302.153,2.330,13698.346,6.953,5.500
15/02/1959,120197.841,2.280,14207.131,7.256,5.500
15/05/1959,121702.993,2.310,14836.361,7.457,5.500
15/08/1959,126140.392,2.440,15371.587,7.513,5.567
15/11/1959,129508.856,2.610,16184.478,7.916,6.000
15/02/1960,126727.326,2.560,16953.642,8.444,6.366
15/05/1960,136871.474,2.580,17533.674,8.300,6.500
15/08/1960,132294.340,2.700,17891.312,8.086,6.500
15/11/1960,131290.666,2.960,18542.353,7.980,6.500
15/02/1961,137458.277,2.980,19374.099,8.114,6.500
15/05/1961,137924.783,3.070,19795.935,8.560,7.109
15/08/1961,138657.146,3.300,19983.636,8.150,7.500
15/11/1961,144056.457,3.540,20553.245,7.852,7.500
15/02/1962,149053.341,3.490,21411.645,8.773,7.500
15/05/1962,156172.192,3.520,21743.358,8.624,7.500
15/08/1962,154697.322,3.700,22128.668,8.405,7.500
15/11/1962,144216.677,3.980,23105.796,8.044,7.500
15/02/1963,143103.346,3.930,23881.997,8.114,7.500
15/05/1963,144424.848,3.970,24298.706,8.170,7.500
15/08/1963,151974.780,4.170,24301.201,8.469,7.263
15/11/1963,157224.710,4.480,24982.706,8.874,6.733
15/02/1964,158394.053,4.420,26012.370,9.829,6.500
15/05/1964,157208.950,4.420,27158.590,9.986,6.722
15/08/1964,167648.399,4.630,27706.669,9.742,7.500
15/11/1964,174355.418,4.980,28647.202,9.384,7.500
15/02/1965,181550.397,4.850,30162.885,10.662,7.500
15/05/1965,164729.572,4.800,30606.936,10.234,7.500
15/08/1965,167903.801,5.080,30766.090,9.661,7.500
15/11/1965,172678.085,5.490,31376.107,10.031,7.500
15/02/1966,173889.524,5.450,32779.439,10.745,7.500
15/05/1966,175266.055,5.480,33761.051,11.224,7.500
15/08/1966,181418.339,5.750,34750.213,10.467,7.500
15/11/1966,180725.484,6.140,36030.018,9.708,7.500
15/02/1967,182639.391,5.880,37990.499,9.662,7.500
15/05/1967,190203.790,6.080,38600.414,9.161,7.500
15/08/1967,187280.072,6.280,38856.942,8.373,7.500
15/11/1967,190599.140,6.440,39368.145,8.737,7.640
15/02/1968,211584.719,6.190,40953.993,8.829,8.430
15/05/1968,186818.441,6.260,41499.223,9.161,7.900
15/08/1968,195503.804,6.450,41945.009,9.339,7.317
15/11/1968,198194.525,6.640,42807.046,9.708,7.000
15/02/1969,212580.616,6.380,44461.683,10.995,7.011
15/05/1969,214125.180,6.540,46442.768,10.729,9.097
15/08/1969,207696.263,6.840,48082.186,9.661,10.000
15/11/1969,208957.019,7.140,49201.593,9.789,10.000
15/02/1970,212596.466,7.350,50548.795,9.996,10.000
15/05/1970,222295.476,7.430,51171.079,9.408,10.000
15/08/1970,212979.791,7.680,51336.402,8.695,10.000
15/11/1970,208513.600,8.060,52511.092,8.818,10.000
15/02/1971,214112.837,7.880,54515.978,8.829,9.204
15/05/1971,219020.930,7.950,54131.711,8.583,8.578
15/08/1971,224080.309,8.180,54129.985,8.615,8.500
15/11/1971,224811.898,8.600,54841.482,8.575,8.500
15/02/1972,219988.410,9.090,56829.684,9.579,8.048
15/05/1972,226606.238,9.520,57855.971,11.637,8.033
15/08/1972,234714.997,9.590,59681.632,11.916,9.000
15/11/1972,235270.160,10.010,61674.623,16.180,8.570
15/02/1973,236823.505,10.470,65532.190,18.182,11.667
15/05/1973,237010.115,10.770,66955.392,19.483,12.167
15/08/1973,239006.113,11.290,69397.300,18.469,12.667
15/11/1973,241599.495,11.590,71218.347,16.180,13.500
15/02/1974,238820.583,11.590,75765.176,15.167,14.000
15/05/1974,238821.417,11.200,76626.103,14.634,14.000
15/08/1974,235245.624,11.330,76058.130,12.682,14.000
15/11/1974,230967.187,12.150,76267.336,12.737,15.220
15/02/1975,229428.831,12.970,78715.190,13.748,14.000
15/05/1975,226456.957,13.430,77119.502,15.428,13.167
15/08/1975,231044.460,14.050,76553.028,15.491,12.833
15/11/1975,243534.121,14.090,78358.818,17.040,12.500
15/02/1976,245366.780,14.510,84188.667,17.828,13.167
15/05/1976,251225.086,14.680,87071.802,19.042,14.833
15/08/1976,244137.602,14.970,90640.528,17.703,15.661
15/11/1976,244936.474,15.600,91512.601,17.040,16.722
15/02/1977,248127.329,15.660,95539.052,18.803,13.634
15/05/1977,246372.765,16.650,98351.608,18.601,16.000
15/08/1977,256285.566,17.270,100536.215,17.448,16.398
15/11/1977,253541.568,18.160,102334.541,16.868,17.070
15/02/1978,250444.956,18.780,107274.372,17.473,16.674
15/05/1978,255062.813,19.540,108898.721,17.279,15.372
15/08/1978,260363.275,20.030,110651.984,16.682,14.322
15/11/1978,260800.019,20.230,113454.939,15.835,14.003
15/02/1979,264066.656,20.720,116125.377,16.763,14.000
15/05/1979,267903.966,21.670,121111.040,16.397,17.000
15/08/1979,266313.505,22.000,123523.357,15.491,16.890
15/11/1979,268148.963,21.970,125324.724,14.803,14.571
15/02/1980,272149.341,21.570,128337.820,13.393,18.438
15/05/1980,264494.892,20.910,132885.579,13.753,19.575
15/08/1980,261369.255,21.280,132548.972,14.980,18.700
15/11/1980,263106.870,21.310,136957.792,16.610,18.167
15/02/1981,263807.035,21.180,138266.328,18.626,18.167
15/05/1981,261617.798,20.320,146518.609,21.599,18.833
15/08/1981,264017.534,19.600,147119.819,20.512,20.667
15/11/1981,264434.452,19.960,149489.993,22.979,20.500
15/02/1982,268861.703,19.800,154857.551,24.214,13.179
15/05/1982,272365.251,19.960,163155.328,23.538,21.333
15/08/1982,275606.477,19.500,164798.635,23.661,21.611
15/11/1982,275698.039,19.960,166271.870,25.819,17.494
15/02/1983,277018.438,21.670,167966.090,35.389,15.462
15/05/1983,281216.675,24.400,175309.515,40.729,15.011
15/08/1983,278199.942,24.720,172614.362,50.666,15.500
15/11/1983,284367.722,25.450,182714.686,55.252,12.056
15/02/1984,287796.068,26.890,190007.198,48.427,11.000
15/05/1984,291009.690,27.450,206554.007,47.869,11.772
15/08/1984,293735.165,27.740,205653.817,43.465,11.022
15/11/1984,295025.920,28.990,210992.126,43.117,11.667
15/02/1985,295189.984,30.140,212899.749,47.363,12.000
15/05/1985,299956.731,31.520,226120.947,52.365,10.086
15/08/1985,306279.701,33.750,221753.239,56.839,9.667
15/11/1985,313038.625,34.570,248787.096,61.707,9.523
15/02/1986,317719.218,36.540,251399.921,64.393,8.850
15/05/1986,319163.985,36.670,276490.409,57.126,9.062
15/08/1986,317664.674,35.720,289337.882,50.409,9.177
15/11/1986,319612.215,36.250,326750.461,49.830,9.250
15/02/1987,313668.092,33.850,329915.749,52.951,10.884
15/05/1987,325022.963,33.790,339370.449,54.746,9.878
15/08/1987,317986.553,33.560,333941.146,53.238,9.500
15/11/1987,320732.323,33.230,357964.621,46.990,9.376
15/02/1988,319896.443,33.690,338607.834,51.621,9.000
15/05/1988,319844.362,33.590,348614.997,58.977,8.958
15/08/1988,317768.508,34.210,339960.827,60.182,8.519
15/11/1988,319613.638,34.470,350912.593,70.227,8.500
15/02/1989,324719.876,34.150,339398.614,77.697,8.511
15/05/1989,322250.259,34.210,353345.597,90.449,9.378
15/08/1989,318439.804,33.560,345533.120,84.872,9.667
15/11/1989,319721.896,33.060,371907.271,93.722,11.785
15/02/1990,322322.683,31.550,364005.967,101.112,11.952
15/05/1990,326988.009,31.680,371078.577,99.706,11.094
15/08/1990,330012.217,30.900,363931.222,85.387,10.500
15/11/1990,324470.539,30.700,391100.487,81.329,10.500
15/02/1991,326582.000,31.320,375025.979,92.598,10.435
15/05/1991,325352.000,31.720,387570.140,97.061,9.780
15/08/1991,329488.000,31.590,368289.180,93.617,9.753
15/11/1991,325162.000,31.820,388901.467,91.140,9.672
15/02/1992,331058.000,31.600,383022.611,87.808,10.000
15/05/1992,329099.000,31.600,388222.263,84.895,10.054
15/08/1992,337301.000,31.000,377059.260,67.641,10.273
15/11/1992,334695.000,30.200,376061.577,67.645,12.633
15/02/1993,331995.000,29.800,366318.729,74.238,12.224
15/05/1993,330350.000,29.600,365497.617,83.309,9.253
15/08/1993,333832.000,31.000,360744.269,85.129,9.921
15/11/1993,336120.000,32.800,348764.487,94.497,7.711
15/02/1994,343922.000,34.700,343144.530,103.241,6.196
15/05/1994,349805.000,34.700,345965.341,96.797,5.747
15/08/1994,351818.000,34.200,331417.149,89.759,5.506
15/11/1994,357795.000,34.700,326863.120,90.107,5.500
15/02/1995,360820.000,35.500,326780.792,84.332,5.887
