"isocode" "country" "year" "rgdp" "rgdpch" "hours" "pop"
"DNK-1950" "DNK" "Denmark" 1950 36604915.301256 8570.572536 NA 4271
"DNK-1951" "DNK" "Denmark" 1951 35030679.8013142 8139.817131 NA 4303.62
"DNK-1952" "DNK" "Denmark" 1952 35623572.45491 8219.559865 NA 4334
"DNK-1953" "DNK" "Denmark" 1953 38164414.2531546 8734.714702 NA 4369.28
"DNK-1954" "DNK" "Denmark" 1954 40115730.946888 9104.795948 NA 4406
"DNK-1955" "DNK" "Denmark" 1955 39493165.255443 8896.860837 NA 4439
"DNK-1956" "DNK" "Denmark" 1956 40668725.3797848 9105.337386 NA 4466.471
"DNK-1957" "DNK" "Denmark" 1957 42422013.0005888 9452.676137 NA 4487.831
"DNK-1958" "DNK" "Denmark" 1958 43109061.5415565 9547.685769 NA 4515.132
"DNK-1959" "DNK" "Denmark" 1959 47626022.1935319 10475.00222 NA 4546.636
"DNK-1960" "DNK" "Denmark" 1960 51007321.96794 11134.53874 NA 4581
"DNK-1961" "DNK" "Denmark" 1961 54328176.8763069 11785.32182 NA 4609.817
"DNK-1962" "DNK" "Denmark" 1962 57672449.963991 12410.95405 NA 4646.899
"DNK-1963" "DNK" "Denmark" 1963 57782292.0074594 12337.20879 NA 4683.579
"DNK-1964" "DNK" "Denmark" 1964 63487730.0202079 13450.30297 NA 4720.171
"DNK-1965" "DNK" "Denmark" 1965 66347605.825079 13944.13859 NA 4758.1
"DNK-1966" "DNK" "Denmark" 1966 68297077.828875 14235.97245 NA 4797.5
"DNK-1967" "DNK" "Denmark" 1967 70712321.79354 14613.60705 NA 4838.8
"DNK-1968" "DNK" "Denmark" 1968 73170132.922231 15033.00247 NA 4867.3
"DNK-1969" "DNK" "Denmark" 1969 77983891.0420446 15945.3858 NA 4890.687
"DNK-1970" "DNK" "Denmark" 1970 79958340.3948439 16222.82056 767.132390563145 4928.757
"DNK-1971" "DNK" "Denmark" 1971 81725515.1367092 16466.54047 746.549513864675 4963.126
"DNK-1972" "DNK" "Denmark" 1972 84591546.2480983 16946.79342 739.003157114252 4991.596
"DNK-1973" "DNK" "Denmark" 1973 89093969.8869952 17741.22579 731.352981166036 5021.861
"DNK-1974" "DNK" "Denmark" 1974 87460385.8526574 17335.03218 710.743839036259 5045.297
"DNK-1975" "DNK" "Denmark" 1975 85993042.9890248 16995.13939 658.306136800378 5059.861
"DNK-1976" "DNK" "Denmark" 1976 92805371.8563411 18295.43923 685.28151866455 5072.596
"DNK-1977" "DNK" "Denmark" 1977 94261031.3779472 18524.62059 669.027492665314 5088.419
"DNK-1978" "DNK" "Denmark" 1978 96034937.7922887 18814.7121 662.44984942613 5104.247
"DNK-1979" "DNK" "Denmark" 1979 99673018.543488 19479.56116 670.968161561561 5116.8
"DNK-1980" "DNK" "Denmark" 1980 97618270.6585232 19054.80308 669.695089865133 5123.027
"DNK-1981" "DNK" "Denmark" 1981 96399767.216386 18822.3005 642.725136864927 5121.572
"DNK-1982" "DNK" "Denmark" 1982 100195276.990977 19577.76412 656.849118192966 5117.81
"DNK-1983" "DNK" "Denmark" 1983 102758175.978083 20092.33644 660.778671411551 5114.297
"DNK-1984" "DNK" "Denmark" 1984 108179779.580679 21163.50604 682.827352235936 5111.619
"DNK-1985" "DNK" "Denmark" 1985 113595587.204137 22214.01082 701.529282395217 5113.691
"DNK-1986" "DNK" "Denmark" 1986 121071617.690516 23644.3343 731.831455761618 5120.534
"DNK-1987" "DNK" "Denmark" 1987 120649893.56617 23532.14917 715.430042389669 5127.024
"DNK-1988" "DNK" "Denmark" 1988 120243961.983562 23441.58045 700.841540609646 5129.516
"DNK-1989" "DNK" "Denmark" 1989 121442880.201521 23661.11636 694.883765947658 5132.593
"DNK-1990" "DNK" "Denmark" 1990 123067282.963308 23938.60808 687.54153597934 5140.954
"DNK-1991" "DNK" "Denmark" 1991 124332753.921705 24121.89814 676.070157165763 5154.352
"DNK-1992" "DNK" "Denmark" 1992 126777613.386999 24515.17674 673.191720727092 5171.393
"DNK-1993" "DNK" "Denmark" 1993 125534550.493646 24195.29898 653.511599935849 5188.386
"DNK-1994" "DNK" "Denmark" 1994 133691104.88437 25682.15534 655.445060880966 5205.603
"DNK-1995" "DNK" "Denmark" 1995 139000180.993027 26564.2056 667.801152061793 5232.612
"DNK-1996" "DNK" "Denmark" 1996 142746361.049975 27127.39006 666.484096056048 5262.075
"DNK-1997" "DNK" "Denmark" 1997 148778106.721504 28158.13702 693.162764203695 5283.663
"DNK-1998" "DNK" "Denmark" 1998 152606969.212158 28778.7431 711.82602946857 5302.767
"DNK-1999" "DNK" "Denmark" 1999 155798221.65688 29284.64239 718.352983239514 5320.134
"DNK-2000" "DNK" "Denmark" 2000 162620035.376217 30467.93343 731.231059977265 5337.416
"DNK-2001" "DNK" "Denmark" 2001 163165515.718413 30465.05165 737.244769774792 5355.826
"DNK-2002" "DNK" "Denmark" 2002 164050423.450025 30522.75236 728.015081179663 5374.693
"DNK-2003" "DNK" "Denmark" 2003 164337566.650618 30465.9552 714.395148017862 5394.138
"DNK-2004" "DNK" "Denmark" 2004 168333967.320968 31095.83923 714.297035048727 5413.392
"DNK-2005" "DNK" "Denmark" 2005 174715446.764138 32162.12674 717.844282964589 5432.335
"DNK-2006" "DNK" "Denmark" 2006 183186841.519999 33608.18835 NA 5450.661
"DNK-2007" "DNK" "Denmark" 2007 187512077.244934 34291.87312 NA 5468.12
