time,long_term_r,stock_prices
1987-01,11.09333,7.978937
1987-02,11.362,7.390628
1987-03,11.85,7.31709
1987-04,11.53157,7.353859
1987-05,11.11315,7.500937
1987-06,10.7,7.611244
1987-07,11.04217,7.574475
1987-08,10.89666,7.978937
1987-09,11.47227,7.611244
1987-10,11.83727,6.80232
1987-11,11.39523,6.76555
1987-12,11.11857,6.692012
1988-01,10.601,6.839089
1988-02,9.94,7.022935
1988-03,10.06363,7.133244
1988-04,10.48555,7.206782
1988-05,10.412,7.868629
1988-06,9.78091,8.199553
1988-07,9.59,8.34663
1988-08,9.78826,8.052476
1988-09,9.794545,8.604015
1988-10,9.65,9.082016
1988-11,9.440454,9.265862
1988-12,9.058095,10.00125
1989-01,9.025,10.58956
1989-02,9.443,10.14833
1989-03,9.641,10.73663
1989-04,9.675263,11.1411
1989-05,9.80619,11.32494
1989-06,9.87381,12.5751
1989-07,9.343333,12.94279
1989-08,9.315652,12.31771
1989-09,9.734762,12.13387
1989-10,10.18045,12.5751
1989-11,10.28727,12.97956
1989-12,10.15052,13.34725
1990-01,10.50227,13.64141
1990-02,11.3065,13.45756
1990-03,11.23727,13.97233
1990-04,10.57722,13.16341
1990-05,10.43904,13.86202
1990-06,10.36105,13.86202
1990-07,10.0259,14.19295
1990-08,10.46521,13.23695
1990-09,10.8285,12.20741
1990-10,10.77043,12.72218
1990-11,10.67318,12.06033
1990-12,10.35833,11.58233
1991-01,10.27954,11.6191
1991-02,9.4195,12.72218
1991-03,9.323158,12.79571
1991-04,9.214,12.68541
1991-05,9.111905,13.08987
1991-06,9.204737,13.49433
1991-07,9.34087,13.86202
1991-08,9.335,13.71495
1991-09,9.138095,13.38402
1991-10,8.951739,13.49433
1991-11,8.933333,13.01633
1991-12,8.897895,12.97956
1992-01,8.520454,13.31048
1992-02,8.5535,12.79571
1992-03,8.725909,12.13387
1992-04,8.826316,12.13387
1992-05,8.777369,12.75895
1992-06,9.01,11.80294
1992-07,9.173913,11.36171
1992-08,9.611905,10.25863
1992-09,9.571818,9.670324
1992-10,9.283636,9.265862
1992-11,8.813809,9.560017
1992-12,8.980952,9.633555
1993-01,8.6525,10.40571
1993-02,8.6335,10.2954
1993-03,8.174783,10.25863
1993-04,7.781579,10.58956
1993-05,7.560555,10.99402
1993-06,7.178182,11.58233
1993-07,7.046364,11.65587
1993-08,6.734091,12.28094
1993-09,6.77,12.17064
1993-10,6.473333,12.83248
1993-11,6.404545,12.72218
1993-12,6.224091,13.45756
1994-01,6.017619,14.9651
1994-02,6.271,14.81803
1994-03,6.693182,14.26649
1994-04,7.027222,14.26649
1994-05,7.4125,13.42079
1994-06,8.165455,13.45756
1994-07,8.15,13.89879
1994-08,8.571304,13.12664
1994-09,9.087273,12.83248
1994-10,8.91619,12.64864
1994-11,8.827272,12.61187
1994-12,8.766191,12.83248
1995-01,9.064546,12.86925
1995-02,8.8575,12.94279
1995-03,8.956957,12.20741
1995-04,8.74647,12.68541
1995-05,8.318095,13.20018
1995-06,8.266666,12.86925
1995-07,8.338096,13.49433
1995-08,8.084783,13.60464
1995-09,7.84,13.34725
1995-10,7.88,13.16341
1995-11,7.565909,13.31048
1995-12,7.322631,13.45756
1996-01,7.040909,14.12483
1996-02,7.408095,14.32469
1996-03,7.597619,14.20847
1996-04,7.341579,14.61657
1996-05,7.392,14.84377
1996-06,7.498947,14.9409
1996-07,7.354783,15.15657
1996-08,7.259091,15.50794
1996-09,7.18,15.88082
1996-10,6.826522,16.58447
1996-11,6.786667,16.72291
1996-12,6.628947,17.19194
1997-01,6.4864,18.52396
1997-02,6.2465,19.9444
1997-03,6.4678,20.22066
1997-04,6.6162,19.8179
1997-05,6.543,20.99281
1997-06,6.396,21.70687
1997-07,6.1065,23.32006
1997-08,6.2371,23.36134
1997-09,6.1618,22.86743
1997-10,6.0678,24.01097
1997-11,6.0625,23.04592
1997-12,5.7425,24.25828
1998-01,5.4895,25.72646
1998-02,5.432,25.78721
1998-03,5.2723,27.11303
1998-04,5.2184,28.10411
1998-05,5.3347,27.35966
1998-06,5.098,27.34583
1998-07,5.0235,27.75745
1998-08,4.9181,25.28138
1998-09,4.8436,23.11127
1998-10,4.7691,21.89499
1998-11,4.7067,22.78321
1998-12,4.3733,22.69593
1999-01,4.1045,23.91634
1999-02,4.2185,23.14842
1999-03,4.4317,22.05564
1999-04,4.2172,23.10998
1999-05,4.4605,23.54708
1999-06,4.8118,23.62781
1999-07,5.115,24.77018
1999-08,5.3841,24.52757
1999-09,5.555,25.44198
1999-10,5.7595,25.23848
1999-11,5.4486,27.10219
1999-12,5.5,28.5371
2000-01,5.8686,29.00437
2000-02,5.8467,30.30514
2000-03,5.6496,32.45818
2000-04,5.5741,31.236
2000-05,5.7895,31.8918
2000-06,5.6958,32.26035
2000-07,5.7895,33.18173
2000-08,5.6739,35.25753
2000-09,5.6748,36.49055
2000-10,5.5991,37.34011
2000-11,5.5205,35.47297
2000-12,5.2395,33.81314
2001-01,5.145,35.51633
2001-02,5.115,35.64235
2001-03,5.0086,32.61942
2001-04,5.1356,31.62216
2001-05,5.3476,33.05165
2001-06,5.3284,33.33484
2001-07,5.3155,32.92293
2001-08,5.1196,32.09505
2001-09,5.1125,27.9055
2001-10,4.8583,27.78626
2001-11,4.6655,28.04099
2001-12,4.9722,27.95698
2002-01,5.0832,28.48271
2002-02,5.1445,28.79842
2002-03,5.3984,29.74147
2002-04,5.4025,28.76183
2002-05,5.4171,28.47593
2002-06,5.2711,27.13046
2002-07,5.13,25.56547
2002-08,4.875,24.37581
2002-09,4.7405,23.50457
2002-10,4.81,22.17941
2002-11,4.7919,22.62249
2002-12,4.6074,22.45854
2003-01,4.4264,22.69972
2003-02,4.21,20.94504
2003-03,4.2638,20.95182
2003-04,4.4089,23.12112
2003-05,4.0875,24.10076
2003-06,3.8505,25.30261
2003-07,4.1657,25.43133
2003-08,4.3514,27.23885
2003-09,4.4005,29.31466
2003-10,4.4383,29.90813
2003-11,4.572,29.79838
2003-12,4.5179,29.18323
2004-01,4.3505,31.20212
2004-02,4.2975,32.69801
2004-03,4.0965,32.65736
2004-04,4.3011,31.94736
2004-05,4.4633,30.9501
2004-06,4.5323,31.8647
2004-07,4.6205,32.60858
2004-08,4.4509,32.60316
2004-09,4.3755,33.5435
2004-10,4.229,34.09768
2004-11,4.0932,34.61799
2004-12,3.8462,35.27108
2005-01,3.7348,36.12336
2005-02,3.64,38.02708
2005-03,3.8145,39.3563
2005-04,3.582,40.15573
2005-05,3.386,39.74789
2005-06,3.1582,42.3047
2005-07,3.2048,43.93879
2005-08,3.24,45.85471
2005-09,3.0509,46.69614
2005-10,3.2176,45.14742
2005-11,3.4618,46.15551
2005-12,3.3529,48.52128
2006-01,3.3114,49.88438
2006-02,3.484,50.51173
2006-03,3.7043,51.98186
2006-04,3.9747,51.09978
2006-05,4.0239,50.08356
2006-06,4.0288,46.46173
2006-07,4.0635,47.16225
2006-08,3.9339,48.74892
2006-09,3.7919,50.39791
2006-10,3.8781,52.93034
2006-11,3.775,54.69179
2006-12,3.7766,56.29471
2007-01,3.9957,58.73365
2007-02,4.0544,61.48423
2007-03,3.9584,59.05884
2007-04,4.1821,61.91917
2007-05,4.3375,64.10066
2007-06,4.6448,64.23209
2007-07,4.5822,66.65342
